date,year,month,day,artist,mix_title,full_title
1994-07-16,1994,07,16,Jon Pleased Wimmin,Essential Mix,1994-07-16 - Jon Pleased Wimmin - Essential Mix
1994-07-23,1994,07,23,Moby,Essential Mix,1994-07-23 - Moby - Essential Mix
1994-07-30,1994,07,30,Patrick Smoove,Essential Mix,1994-07-30 - Patrick Smoove - Essential Mix
1994-08-06,1994,08,06,Leftfield,Essential Mix,1994-08-06 - Leftfield - Essential Mix
1994-08-13,1994,08,13,Trannies With Attitude,Essential Mix,1994-08-13 - Trannies With Attitude - Essential Mix
1994-08-27,1994,08,27,Norman Jay,Essential Mix,1994-08-27 - Norman Jay - Essential Mix
1994-09-04,1994,09,04,Laurent Garnier,Essential Mix,1994-09-04 - Laurent Garnier - Essential Mix
1994-09-11,1994,09,11,Supa DJ Dmitry,Essential Mix,1994-09-11 - Supa DJ Dmitry - Essential Mix
1994-09-18,1994,09,18,"Tino Jugano, Simon Gibb, Colin Patterson @ The Arena, Middlesbrough, UK",Essential Mix,"1994-09-18 - Tino Jugano, Simon Gibb, Colin Patterson @ The Arena, Middlesbrough, UK - Essential Mix"
1994-09-25,1994,09,25,Judge Jules,Essential Mix (Ibiza Special),1994-09-25 - Judge Jules - Essential Mix (Ibiza Special)
1994-10-02,1994,10,02,Danny Rampling,Essential Mix,1994-10-02 - Danny Rampling - Essential Mix
1994-10-09,1994,10,09,Carl Cox,Essential Mix,1994-10-09 - Carl Cox - Essential Mix
1994-10-16,1994,10,16,Danny Tenaglia (Heavens 4th Birthday Party),Essential Mix,1994-10-16 - Danny Tenaglia (Heavens 4th Birthday Party) - Essential Mix
1994-10-23,1994,10,23,Pete Tong,Essential Mix,1994-10-23 - Pete Tong - Essential Mix
1994-10-30,1994,10,30,Chris & James,Essential Mix,1994-10-30 - Chris & James - Essential Mix
1994-11-06,1994,11,06,CJ Bolland,Essential Mix,1994-11-06 - CJ Bolland - Essential Mix
1994-11-13,1994,11,13,Dave Clarke,Essential Mix,1994-11-13 - Dave Clarke - Essential Mix
1994-11-20,1994,11,20,Dave Angel,Essential Mix,1994-11-20 - Dave Angel - Essential Mix
1994-02-19,1994,02,19,CJ Mackintosh,unknown,1994-11-27 - CJ Mackintosh @ Ministry Of Sound
1994-12-04,1994,12,04,David Morales,Essential Mix,1994-12-04 - David Morales - Essential Mix
1994-12-11,1994,12,11,Massive Attack,Essential Mix,1994-12-11 - Massive Attack - Essential Mix
1994-12-18,1994,12,18,Paul Oakenfold,Essential Mix (The Goa Mix),1994-12-18 - Paul Oakenfold - Essential Mix (The Goa Mix)
1995-01-08,1995,01,08,Tony De Vit,Essential Mix,1995-01-08 - Tony De Vit - Essential Mix
1995-01-15,1995,01,15,DJ Ron,Essential Mix,1995-01-15 - DJ Ron - Essential Mix
1995-01-22,1995,01,22,Joe T. Vannelli,Essential Mix,1995-01-22 - Joe T. Vannelli - Essential Mix
1995-01-29,1995,01,29,Dave Clarke,Essential Mix,1995-01-29 - Dave Clarke - Essential Mix
1995-02-05,1995,02,05,E-Smoove,Essential Mix,1995-02-05 - E-Smoove - Essential Mix
1995-02-12,1995,02,12,"Gilles Peterson, DJ Krush & UFO",Essential Mix,"1995-02-12 - Gilles Peterson, DJ Krush & UFO - Essential Mix"
1995-02-19,1995,02,19,Evil Eddie Richards,Essential Mix,1995-02-19 - Evil Eddie Richards - Essential Mix
1995-02-26,1995,02,26,Tall Paul,Essential Mix,1995-02-26 - Tall Paul - Essential Mix
1995-03-05,1995,03,05,The Chemical Brothers,Essential Mix,1995-03-05 - The Chemical Brothers - Essential Mix
1995-03-12,1995,03,12,Lisa Loud,Essential Mix,1995-03-12 - Lisa Loud - Essential Mix
1995-03-19,1995,03,19,Erick Morillo,Essential Mix,1995-03-19 - Erick Morillo - Essential Mix
1995-03-26,1995,03,26,"Pete Tong, Paul Bleasdale",Essential Mix,"1995-03-26 - Pete Tong, Paul Bleasdale - Essential Mix"
1995-04-02,1995,04,02,Justin Robertson,Essential Mix,1995-04-02 - Justin Robertson - Essential Mix
1995-04-09,1995,04,09,Dimitri,Essential Mix,1995-04-09 - Dimitri - Essential Mix
1995-04-16,1995,04,16,MK,Essential Mix,1995-04-16 - MK - Essential Mix
1995-04-23,1995,04,23,Portishead,Essential Mix,1995-04-23 - Portishead - Essential Mix
1995-04-30,1995,04,30,Gordon Kaye,Essential Mix,1995-04-30 - Gordon Kaye - Essential Mix
1995-05-07,1995,05,07,Snap,Essential Mix,1995-05-07 - Snap - Essential Mix
1995-05-09,1995,05,09,Carl Cox,Essential Mix,1995-05-09 - Carl Cox - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1995-05-14 - Pete Tong @ Ministry Of Sound, London (Essential Mix)"
1995-05-21,1995,05,21,Sasha,Essential Mix,1995-05-21 - Sasha - Essential Mix
1995-05-28,1995,05,28,"Paul Oakenfold, Pete Tong, Sasha (Que Club)",Essential Mix,"1995-05-28 - Paul Oakenfold, Pete Tong, Sasha (Que Club) - Essential Mix"
1995-06-04,1995,06,04,The Future Sound Of London,Essential Mix,1995-06-04 - The Future Sound Of London - Essential Mix
1995-06-11,1995,06,11,Eric Powell,Essential Mix,1995-06-11 - Eric Powell - Essential Mix
1995-06-18,1995,06,18,David Holmes,Essential Mix,1995-06-18 - David Holmes - Essential Mix
1995-06-25,1995,06,25,Danny Rampling,Essential Mix,1995-06-25 - Danny Rampling - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"199X - Nicky Holloway @ Manumission, Ku, Ibiza (Essential Mix, 1995-07-02)"
1995-07-09,1995,07,09,Pete Heller & Terry Farley,Essential Mix,1995-07-09 - Pete Heller & Terry Farley - Essential Mix
1995-07-16,1995,07,16,LTJ Bukem & MC Conrad,Essential Mix,1995-07-16 - LTJ Bukem & MC Conrad - Essential Mix
1995-07-23,1995,07,23,Roger Sanchez,Essential Mix,1995-07-23 - Roger Sanchez - Essential Mix
1995-07-30,1995,07,30,Luvdup,Essential Mix,1995-07-30 - Luvdup - Essential Mix
1995-08-06,1995,08,06,Judge Jules,Essential Mix,1995-08-06 - Judge Jules - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1995 - Pete Tong @ KU, Ibiza (Essential Mix, 1995-08-13)"
1995-08-20,1995,08,20,Nick Warren,Essential Mix,1995-08-20 - Nick Warren - Essential Mix
1995-08-27,1995,08,27,Norman Jay,Essential Mix,1995-08-27 - Norman Jay - Essential Mix
1995-09-03,1995,09,03,John Digweed,Essential Mix,1995-09-03 - John Digweed - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"199X - José Padilla @ Cafe Del Mar, Ibiza (Essential Mix, 1995-09-10)"
unknown,unknown,unknown,unknown,unknown,unknown,"1995-09-17 - Paul Oakenfold @ Perfecto, Ku Club, Ibiza (Essential Mix, 1995-09-17)"
1995-09-24,1995,09,24,BT,Essential Mix,1995-09-24 - BT - Essential Mix
1995-10-01,1995,10,01,Carl Craig,Essential Mix,1995-10-01 - Carl Craig - Essential Mix
1995-10-07,1995,10,07,A Guy Called Gerald,Essential Mix,1995-10-07 - A Guy Called Gerald - Essential Mix
1995-10-14,1995,10,14,"Danny Rampling, Pete Tong @ Cream, Liverpool",Essential Mix,"1995-10-14 - Danny Rampling, Pete Tong @ Cream, Liverpool - Essential Mix"
1995-10-21,1995,10,21,Camacho,Essential Mix,1995-10-21 - Camacho - Essential Mix
1995-10-28,1995,10,28,"VA @ Tall Trees, Yarm, UK",Essential Mix,"1995-10-28 - VA @ Tall Trees, Yarm, UK - Essential Mix"
1995-11-04,1995,11,04,"Paul Oakenfold, Black Box, Pete Tong, E'voke, Sasha (Que Club)",Essential Mix,"1995-11-04 - Paul Oakenfold, Black Box, Pete Tong, E'voke, Sasha (Que Club) - Essential Mix"
1995-11-11,1995,11,11,David Morales,Essential Mix,1995-11-11 - David Morales - Essential Mix
1995-11-18,1995,11,18,Laurent Garnier,Essential Mix,1995-11-18 - Laurent Garnier - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1995-11-25 - Pete Tong, Sasha @ Essential Selection Tour, The Arches, Glasgow (Essential Mix)"
1995-12-02,1995,12,02,Jeremy Healy,Essential Mix,1995-12-02 - Jeremy Healy - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1995-12-09 - Pete Tong, Grace (Live PA), Tall Paul @ Cream, Liverpool (Essential Mix)"
1995-12-16,1995,12,16,John Kelly,Essential Mix,1995-12-16 - John Kelly - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1995-12-23 - Danny Rampling, Pete Tong @ Shepherd's Bush Empire, London (Essential Mix)"
1995-12-31,1995,12,31,Judge Jules,Essential Mix,1995-12-31 - Judge Jules - Essential Mix
1996-01-01,1996,01,01,DJ Tinman,Essential Mix,1996-01-01 - DJ Tinman - Essential Mix
1996-01-07,1996,01,07,Tall Paul,Essential Mix,1996-01-07 - Tall Paul - Essential Mix
1996-01-14,1996,01,14,Dave Seaman,Essential Mix,1996-01-14 - Dave Seaman - Essential Mix
1996-01-21,1996,01,21,Armand Van Helden,Essential Mix,1996-01-21 - Armand Van Helden - Essential Mix
1996-01-28,1996,01,28,"Pete Tong, Paul Bleasdale, Boy George @ Que Club",Essential Mix,"1996-01-28 - Pete Tong, Paul Bleasdale, Boy George @ Que Club - Essential Mix"
1996-02-04,1996,02,04,Darren Emerson & Underworld,Essential Mix,1996-02-04 - Darren Emerson & Underworld - Essential Mix
1996-02-11,1996,02,11,Stacey Pullen,Essential Mix,1996-02-11 - Stacey Pullen - Essential Mix
1996-02-18,1996,02,18,Gusto,Essential Mix,1996-02-18 - Gusto - Essential Mix
1996-02-25,1996,02,25,"Ralph Lawson, Pete Tong (Back To Basics, Leeds)",Essential Mix,"1996-02-25 - Ralph Lawson, Pete Tong (Back To Basics, Leeds) - Essential Mix"
1996-03-03,1996,03,03,Joey Negro,Essential Mix,1996-03-03 - Joey Negro - Essential Mix
1996-03-10,1996,03,10,Pete Wardman,Essential Mix,1996-03-10 - Pete Wardman - Essential Mix
1996-03-17,1996,03,17,Billy Nasty,Essential Mix,1996-03-17 - Billy Nasty - Essential Mix
1996-03-24,1996,03,24,LTJ Bukem & MC Conrad,Essential Mix,1996-03-24 - LTJ Bukem & MC Conrad - Essential Mix
1996-03-31,1996,03,31,"Pete Tong, Pete Bromley @ Golden, Manchester, UK",Essential Mix,"1996-03-31 - Pete Tong, Pete Bromley @ Golden, Manchester, UK - Essential Mix"
1996-04-07,1996,04,07,Angel Moraes,Essential Mix,1996-04-07 - Angel Moraes - Essential Mix
1996-04-14,1996,04,14,"Pete Tong, TWA @ Vague Sound City '96, Leeds, UK",Essential Mix,"1996-04-14 - Pete Tong, TWA @ Vague Sound City '96, Leeds, UK - Essential Mix"
1996-04-21,1996,04,21,Daniel Davoli,Essential Mix,1996-04-21 - Daniel Davoli - Essential Mix
1996-04-28,1996,04,28,Goldie,Essential Mix,1996-04-28 - Goldie - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,1996-05-05 - Dave Clarke @ Tribal Gathering (Essential Mix)
1996-05-05,1996,05,05,Goldie,Essential Mix,1996-05-05 - Goldie - Essential Mix
1996-05-12,1996,05,12,Tim Lennox,Essential Mix,1996-05-12 - Tim Lennox - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1996-05-12 - Carl Cox @ Colours, Edinburgh (Essential Mix, 1996-05-19)"
1996-05-26,1996,05,26,Norman Cook,Essential Mix,1996-05-26 - Norman Cook - Essential Mix
1996-06-02,1996,06,02,Snap,Essential Mix,1996-06-02 - Snap - Essential Mix
1996-06-09,1996,06,09,Slam,Essential Mix,1996-06-09 - Slam - Essential Mix
1996-06-16,1996,06,16,Erick Morillo,Essential Mix,1996-06-16 - Erick Morillo - Essential Mix
1996-06-23,1996,06,23,Brothers In Rhythm,Essential Mix,1996-06-23 - Brothers In Rhythm - Essential Mix
1996-06-30,1996,06,30,"Pete Tong, Shiva, Sasha @ Sanctuary, Milton Keynes, UK",Essential Mix,"1996-06-30 - Pete Tong, Shiva, Sasha @ Sanctuary, Milton Keynes, UK - Essential Mix"
1996-07-07,1996,07,07,Johnny Vicious,Essential Mix,1996-07-07 - Johnny Vicious - Essential Mix
1996-07-14,1996,07,14,Stretch & Vern,Essential Mix,1996-07-14 - Stretch & Vern - Essential Mix
1996-07-21,1996,07,21,VA @ Phoenix Festival,Essential Mix,1996-07-21 - VA @ Phoenix Festival - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1996-07-28 - Pete Tong, Sasha, Danny Rampling @ Amnesia, Ibiza (Essential Mix)"
1996-08-04,1996,08,04,"Jon Carter, Richard Fearless",Essential Mix,"1996-08-04 - Jon Carter, Richard Fearless - Essential Mix"
1996-08-11,1996,08,11,"Lee Fisher, Jools",Essential Mix,"1996-08-11 - Lee Fisher, Jools - Essential Mix"
1996-08-18,1996,08,18,Norman Jay,Essential Mix,1996-08-18 - Norman Jay - Essential Mix
1996-08-25,1996,08,25,"Pete Tong, LTJ Bukem @ Cream, Liverpool, UK",Essential Mix,"1996-08-25 - Pete Tong, LTJ Bukem @ Cream, Liverpool, UK - Essential Mix"
1996-09-01,1996,09,01,Derrick Carter,Essential Mix,1996-09-01 - Derrick Carter - Essential Mix
1996-09-08,1996,09,08,Paul 'Trouble' Anderson,Essential Mix,1996-09-08 - Paul 'Trouble' Anderson - Essential Mix
1996-09-15,1996,09,15,Howie B,Essential Mix,1996-09-15 - Howie B - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1996-09-16 - DJ Griff, Alfredo @ Manumission Closing Party, Ibiza (Essential Mix, 1999-09-22)"
1996-09-29,1996,09,29,"VA @ Sonic, Essence, Nottingham, UK",Essential Mix,"1996-09-29 - VA @ Sonic, Essence, Nottingham, UK - Essential Mix"
1996-10-06,1996,10,06,Judge Jules,Essential Mix,1996-10-06 - Judge Jules - Essential Mix
1996-10-13,1996,10,13,Paul Oakenfold,Essential Mix,1996-10-13 - Paul Oakenfold - Essential Mix
1996-10-20,1996,10,20,The Play Boys,Essential Mix,1996-10-20 - The Play Boys - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1996-10-26 - The Chemical Brothers (Live PA) @ Brixton Academy, London (Essential Mix)"
1996-10-27,1996,10,27,Andrew Weatherall,Bloodsugar 1 (Essential Mix),1996-10-27 - Andrew Weatherall - Bloodsugar 1 (Essential Mix)
1996-11-03,1996,11,03,"Carl Cox @ Que Club, Birmingham",Essential Mix,"1996-11-03 - Carl Cox @ Que Club, Birmingham - Essential Mix"
1996-11-10,1996,11,10,Steve Bridger,Essential Mix,1996-11-10 - Steve Bridger - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1996 - Pete Tong, Nicky Holloway @ Milk Bar Reunion, Mars, London, UK (Essential Mix, 1996-11-17)"
1996-11-24,1996,11,24,Smith & Mighty,Essential Mix,1996-11-24 - Smith & Mighty - Essential Mix
1996-12-01,1996,12,01,"Pete Tong, Nick Warren @ Scream At The Warehouse, Plymouth, UK",Essential Mix,"1996-12-01 - Pete Tong, Nick Warren @ Scream At The Warehouse, Plymouth, UK - Essential Mix"
1996-12-08,1996,12,08,Graeme Park,Essential Mix,1996-12-08 - Graeme Park - Essential Mix
1996-12-15,1996,12,15,The Psychonauts,Essential Mix,1996-12-15 - The Psychonauts - Essential Mix
1996-12-22,1996,12,22,Jeremy Healy,Essential Mix,1996-12-22 - Jeremy Healy - Essential Mix
1996-12-22,1996,12,22,Paul Oakenfold,Essential Mix,1996-12-22 - Paul Oakenfold - Essential Mix
1996-12-29,1996,12,29,Rhythm Masters,Essential Mix,1996-12-29 - Rhythm Masters - Essential Mix
1996-12-31,1996,12,31,"VA @ Cream, Liverpool, UK",Essential Mix,"1996-12-31 - VA @ Cream, Liverpool, UK - Essential Mix"
1997-01-05,1997,01,05,"The Wiseguys, Derek Dahlarge",Essential Mix,"1997-01-05 - The Wiseguys, Derek Dahlarge - Essential Mix"
1997-01-12,1997,01,12,Doc Martin,Essential Mix,1997-01-12 - Doc Martin - Essential Mix
1997-01-19,1997,01,19,Alex P & Brandon Block,Essential Mix,1997-01-19 - Alex P & Brandon Block - Essential Mix
1997-01-26,1997,01,26,Grooverider,Essential Mix,1997-01-26 - Grooverider - Essential Mix
1997-02-02,1997,02,02,Marshall Jefferson,Essential Mix,1997-02-02 - Marshall Jefferson - Essential Mix
1997-02-09,1997,02,09,Scott Hardkiss,Essential Mix,1997-02-09 - Scott Hardkiss - Essential Mix
1997-02-16,1997,02,16,Little Louie Vega,Essential Mix,1997-02-16 - Little Louie Vega - Essential Mix
1997-02-16,1997,02,16,Masters At Work,Essential Mix,1997-02-16 - Masters At Work - Essential Mix
1997-02-23,1997,02,23,Nick Warren,Essential Mix,1997-02-23 - Nick Warren - Essential Mix
1997-03-02,1997,03,02,Daft Punk,Essential Mix,1997-03-02 - Daft Punk - Essential Mix
1997-03-09,1997,03,09,Ashley Beedle,Essential Mix,1997-03-09 - Ashley Beedle - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1997-03-15 - Pete Tong, Seb Fontaine @ Ministry Of Sound, London (Essential Mix)"
1997-03-16,1997,03,16,DJ Sneak,Essential Mix,1997-03-16 - DJ Sneak - Essential Mix
1997-03-23,1997,03,23,Murk,Essential Mix,1997-03-23 - Murk - Essential Mix
1997-03-30,1997,03,30,Matthew Roberts,Essential Mix,1997-03-30 - Matthew Roberts - Essential Mix
1997-04-06,1997,04,06,Sven Väth,Essential Mix,1997-04-06 - Sven Väth - Essential Mix
1997-04-13,1997,04,13,Mrs. Wood,Essential Mix,1997-04-13 - Mrs. Wood - Essential Mix
1997-04-20,1997,04,20,Paul van Dyk,Essential Mix,1997-04-20 - Paul van Dyk - Essential Mix
1997-04-27,1997,04,27,"Pete Tong, Allister Whitehead @ Southport Dance Weekender",Essential Mix,"1997-04-27 - Pete Tong, Allister Whitehead @ Southport Dance Weekender - Essential Mix"
1997-05-04,1997,05,04,Jonny L,Essential Mix,1997-05-04 - Jonny L - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1997-05-05 - Junior Vasquez @ Ministry Of Sound, London (Essential Mix)"
1997-05-11,1997,05,11,Fathers Of Sound,Essential Mix,1997-05-11 - Fathers Of Sound - Essential Mix
1997-05-18,1997,05,18,Dave Clarke,Essential Mix,1997-05-18 - Dave Clarke - Essential Mix
1997-05-25,1997,05,25,"VA @ Tribal Gathering, Luton, UK",Essential Mix,"1997-05-25 - VA @ Tribal Gathering, Luton, UK - Essential Mix"
1997-06-01,1997,06,01,Force & Styles,Essential Mix,1997-06-01 - Force & Styles - Essential Mix
1997-06-08,1997,06,08,Tasha Killer Pussies,Essential Mix,1997-06-08 - Tasha Killer Pussies - Essential Mix
1997-06-15,1997,06,15,David Holmes,Essential Mix,1997-06-15 - David Holmes - Essential Mix
1997-06-22,1997,06,22,Roni Size,Essential Mix,1997-06-22 - Roni Size - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,1997-06-29 - VA @ Glastonbury Festival (Essential Mix)
unknown,unknown,unknown,unknown,unknown,unknown,"1997-07-06 - Boy George, Pete Tong, Paul Oakenfold @ Hong Kong Hand Over (Essential Mix)"
1997-07-12,1997,07,12,Dimitri From Paris,Essential Mix,1997-07-12 - Dimitri From Paris - Essential Mix
1997-07-20,1997,07,20,VA @ The Phoenix Festival,Essential Mix,1997-07-20 - VA @ The Phoenix Festival - Essential Mix
1997-07-27,1997,07,27,José Padilla,Essential Mix,1997-07-27 - José Padilla - Essential Mix
1997-08-03,1997,08,03,Timmy S,Essential Mix,1997-08-03 - Timmy S - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1997-08-10 - Pete Tong, Danny Rampling, Tall Paul @ Amnesia, Ibiza (Essential Mix)"
1997-08-17,1997,08,17,Judge Jules,Essential Mix,1997-08-17 - Judge Jules - Essential Mix
1997-08-24,1997,08,24,Norman Jay,Essential Mix,1997-08-24 - Norman Jay - Essential Mix
1997-08-31,1997,08,31,Felix Da Housecat,Essential Mix,1997-08-31 - Felix Da Housecat - Essential Mix
1997-09-07,1997,09,07,José Padilla,Essential Mix,1997-09-07 - José Padilla - Essential Mix
1997-09-14,1997,09,14,"Lisa Loud, Pete Tong (Escape, Swansea)",Essential Mix,"1997-09-14 - Lisa Loud, Pete Tong (Escape, Swansea) - Essential Mix"
1997-09-21,1997,09,21,BT (Washington),Essential Mix,1997-09-21 - BT (Washington) - Essential Mix
1997-09-28,1997,09,28,"Colin Hamilton, Pete Tong @ Kelly's, Portrush, Ireland",Essential Mix,"1997-09-28 - Colin Hamilton, Pete Tong @ Kelly's, Portrush, Ireland - Essential Mix"
1997-10-05,1997,10,05,Adam Freeland,Essential Mix,1997-10-05 - Adam Freeland - Essential Mix
1997-10-12,1997,10,12,"Pete Tong, Claudio Coccoluto @ Goa Club, Rome, Italy",Essential Mix,"1997-10-12 - Pete Tong, Claudio Coccoluto @ Goa Club, Rome, Italy - Essential Mix"
1997-10-19,1997,10,19,Paul Oakenfold,Essential Mix,1997-10-19 - Paul Oakenfold - Essential Mix
1997-10-26,1997,10,26,Tuff & Jam,Essential Mix,1997-10-26 - Tuff & Jam - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1997-11-02 - Pete Tong, Paul van Dyk @ Sound City '97, Oxford Ice Ring (Essential Mix)"
1997-11-09,1997,11,09,"Pete Tong, Carl Cox",Essential Mix,"1997-11-09 - Pete Tong, Carl Cox - Essential Mix"
1997-11-16,1997,11,16,Basement Jaxx,Essential Mix,1997-11-16 - Basement Jaxx - Essential Mix
1997-11-23,1997,11,23,Justin Robertson,Essential Mix,1997-11-23 - Justin Robertson - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,"1997-11-30 - Nick Warren, Paul Oakenfold @ Cream, Liverpool, Essential Mix"
1997-12-07,1997,12,07,Blu Peter,Essential Mix,1997-12-07 - Blu Peter - Essential Mix
1997-12-14,1997,12,14,"Seb Fontaine, Pete Tong @ Gatecrasher",Essential Mix,"1997-12-14 - Seb Fontaine, Pete Tong @ Gatecrasher - Essential Mix"
1997-12-21,1997,12,21,Gilles Peterson,Essential Mix,1997-12-21 - Gilles Peterson - Essential Mix
1997-12-25,1997,12,25,Dreem Teem,Essential Mix,1997-12-25 - Dreem Teem - Essential Mix
1997-12-28,1997,12,28,Photek,Essential Mix,1997-12-28 - Photek - Essential Mix
1997-12-30,1997,12,30,Daft Punk,Essential Mix,1997-12-30 - Daft Punk - Essential Mix
1997-12-31,1997,12,31,David Holmes,Essential Mix,1997-12-31 - David Holmes - Essential Mix
unknown,unknown,unknown,unknown,unknown,unknown,1998-01 - David Holmes - Essential Mix
1998-01-01,1998,01,01,"VA @ NYE, UK & USA",Essential Mix,"1998-01-01 - VA @ NYE, UK & USA - Essential Mix"
1998-01-04,1998,01,04,Phil Perry,Essential Mix,1998-01-04 - Phil Perry - Essential Mix
1998-01-11,1998,01,11,Danny Howells,Essential Mix,1998-01-11 - Danny Howells - Essential Mix
1998-01-18,1998,01,18,Carl Cox (South Africa),Essential Mix,1998-01-18 - Carl Cox (South Africa) - Essential Mix
1998-01-25,1998,01,25,Seb Fontaine,Essential Mix,1998-01-25 - Seb Fontaine - Essential Mix
1998-02-01,1998,02,01,Freddy Fresh,Essential Mix,1998-02-01 - Freddy Fresh - Essential Mix
